mindex,n,predictors,rsquare,adjr,predrsq,cp,aic,sbic,sbc,msep,fpe,apc,hsp
48,3,mpg mpgmpge carclass_id,0.5211987426660345,0.49195897122579224,0.4710341897504229,125.7797395844816,3112.283341221251,2700.9078299724465,3141.699765447344,33027285241.069702,251883455.8074957,0.50696603717714,1813975.5047864919
49,3,accelrate mpgmpge mpg2,0.5195951669882343,0.5089980015541513,0.4919333938691043,126.64308176309049,3102.751438340939,2701.358104571139,3117.4596504539854,33137898466.296494,243435614.78750753,0.5086639408359872,1753137.143531433
50,3,accelrate mpg2 I(factor(same_mpg)),0.5181025496926569,0.5074724588770538,0.4885583113540166,127.4466855378501,3103.1857438447005,2701.7759156575785,3117.893955957747,33240857880.92142,244191968.97885352,0.5102443591489515,1758584.1387365996
51,3,mpgmpge carclass_id mpg2,0.4908406164888655,0.4597469136790251,0.4415037835893858,142.12411993092883,3120.8899110132656,2709.1940675231754,3150.3063352393588,35121361806.82609,267853985.57578272,0.5391099354823777,1928989.6080560486
52,3,mpgmpge carclass_id I(factor(same_mpg)),0.49063375814716004,0.4595274227668339,0.4168055860572726,142.2354894994897,3120.946777855917,2709.248869100159,3150.36320208201,35135630711.41092,267962807.75027215,0.5393289619618306,1929773.3068435239
53,3,carclass_id mpg2 I(factor(same_mpg)),0.48889678136614656,0.45768437106789595,0.4389062782853167,143.17065292150562,3121.4233761150663,2709.708184665565,3150.8398003411594,35255445826.18961,268876580.8608425,0.5411681138476095,1936353.977392899
54,3,mpg mpgmpge mpg2,0.40107003838052907,0.38785834805068775,0.3644145820286989,190.4553134953901,3133.6236104721575,2731.1538405188726,3148.331822585204,41313656509.53557,303495871.40378195,0.6341611358323811,2185669.855788553
55,3,mpg mpg2 I(factor(same_mpg)),0.4008984878311432,0.3876830132980067,0.36256091707982674,190.54767385424236,3133.66370470608,2731.1926587582752,3148.3719168191265,41325489913.9827,303582801.24001,0.6343427775905542,2186295.893703776
56,3,mpg mpg2 mpg_rec,0.4007859316466932,0.38756797425654677,0.3354490109629884,190.60827249192704,3133.69000473276,2731.2181219544236,3148.3982168458065,41333253939.56228,303639836.8526369,0.6344619547270307,2186706.6440004716
57,3,mpgmpge mpg_rec I(factor(same_mpg)),0.39120502295975496,0.37777572199563203,0.3533526794153419,195.76649651175023,3135.9107750936405,2733.368700146443,3150.618987206687,41994136506.65094,308494772.182504,0.6446064462779064,2221670.1700386093
58,3,mpg2 mpg_rec I(factor(same_mpg)),0.38855523636369826,0.3750674842246623,0.3458107405439982,197.19310366497564,3136.5188043098537,2733.9576725346874,3151.2270164229003,42176916431.296974,309837498.9511395,0.6474121026737313,2231340.01302261
59,3,mpgmpge mpg2 mpg_rec,0.38836936663673244,0.3748775144301899,0.34678634421138,197.2931732639584,3136.5613556718376,2733.9988928378452,3151.269567784884,42189737559.88874,309931684.74642104,0.647608905914048,2232018.305786983
60,3,mpg mpg_rec I(factor(same_mpg)),0.3846790415669479,0.37110578513092474,0.3371262819771039,199.27999142890667,3137.4035194069925,2734.814782063565,3152.111731520039,42444292903.7713,311801683.73560023,0.651516308929114,2245485.37669671
61,3,mpg mpgmpge mpg_rec,0.3844399634979151,0.37086143328095744,0.3381809955347511,199.40870763721153,3137.457904729738,2734.8674751646536,3152.1661168427845,42460784296.514915,311922831.8022263,0.6517694504139723,2246357.8421971034
62,3,mpg mpgmpge I(factor(same_mpg)),0.2972766052602873,0.28177535390573494,0.22313943221225663,246.33621136373665,3155.998226304559,2752.862070826685,3170.7064384176056,48473235289.465675,356091133.7039705,0.7440600650185193,2564442.320913368
63,3,mpgmpge mpg2 I(factor(same_mpg)),0.2390534943268138,0.22226790964284648,-0.2005038887798909,277.6827004222658,3167.1421857501546,2763.7065751070513,3181.850397863201,52489413741.3134,385594539.6461505,0.8057080648304324,2776915.4089743355
64,4,mpg accelrate carclass_id mpg_rec,0.7572648175244986,0.7404600741223485,0.7122886197686946,0.6851458054590296,3019.1793063704667,2612.579126924978,3051.537373019169,16868609844.488436,129571815.14362706,0.2607155663625756,933610.6083431697
65,4,accelrate carclass_id mpg2 mpg_rec,0.7548788765608454,0.7379089526304423,0.7089317830087836,1.9697022489802976,3020.548703031283,2613.847003954361,3052.9067696799852,17034418141.486788,130845428.215837,0.26327824369390684,942787.4395376829
66,4,mpg accelrate carclass_id mpg2,0.7363461348890764,0.7180931749967817,0.6827050563791841,11.947464940198302,3030.752554887173,2623.312192957914,3063.1106215358755,18322330282.699844,140738188.5215723,0.2831837810450661,1014068.265209476
67,4,accelrate mpgmpge carclass_id mpg_rec,0.7208760942222215,0.7015521315145292,0.6787776160300207,20.276313274198458,3038.7351678596656,2630.7391982708205,3071.093234508368,19397403445.25584,148996081.87311566,0.29979975065020653,1073569.2981078844
68,4,accelrate carclass_id mpg_rec I(factor(same_mpg)),0.7135941294302816,0.6937660306985318,0.6696861939968578,24.196818826297203,3042.3407478390877,2634.1003103047365,3074.69881448779,19903455438.72381,152883187.92128354,0.3076211202415495,1101577.2675748686
69,4,mpg accelrate mpgmpge carclass_id,0.6635325104066331,0.6402386072809385,0.6192816610280691,51.14927752899533,3064.8935716079523,2655.2160146504552,3097.2516382566546,23382431625.36942,179606033.6981933,0.36139100734102375,1294124.7924728286
70,4,mpg accelrate carclass_id I(factor(same_mpg)),0.6627640846782226,0.6394169828482534,0.615654669320611,51.562986935822295,3065.212939590495,2655.5161663320882,3097.5710062391972,23435832511.367188,180016218.63890845,0.36221635349376097,1297080.3195804004
